Name,Filename,Artwork,HD,M4V,Backup,Artist,Main Genre,Genres,Release Date,Description,Rating,Studio,Director,Producers,Screenwriters,Media Kind,Path
"Before I Go to Sleep","Before I Go to Sleep (HD).m4v","artwork/00201/Before%20I%20Go%20to%20Sleep%20(HD).art[0].jpg",1,1,0,"Adam Levy, Anne-Marie Duff, Ben Crompton, Colin Firth, Dean-Charles Chapman, Flynn MacArthur, Gabriel Strong, Jing Lusi, Mark Strong, Nicole Kidman, Rowan Joffe","Horror","Mystery, Thriller","2014-10-31","A woman wakes up every day, remembering nothing as a result of a traumatic accident in her past. One day, new terrifying truths emerge that force her to question everyone around her.","0","StudioCanal, Scott Free Productions, Millennium Films, Clarius Entertainment, Film i Väst, Filmgate Films","Rowan Joffe","Mark Gill, Avi Lerner, Liza Marshall, Matthew O'Toole","Rowan Joffe, S.J. Watson, S.J. Watson","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Before I Go to Sleep/Before I Go to Sleep (HD).m4v"
"Being Flynn","Being Flynn.m4v","artwork/00202/Being%20Flynn.art[0].png",0,1,0,"Eddie Rouse, Julianne Moore, Liam Broggy, Lili Taylor, Olivia Thirlby, Paul Dano, Robert De Niro, Steve Cirbus, Victor Rasuk","Drama","Comedy, Drama","2012-03-02","During his twenties, a young man works at various homeless shelters in Boston, where he often intersects with his brilliant but troubled father.","0","","Paul Weitz","","Paul Weitz, Nick Flynn","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Being Flynn/Being Flynn.m4v"
"Beowulf (Doblada)","Beowulf (Doblada).m4v","artwork/00203/Beowulf%20(Doblada).art[0].png",0,1,0,"Alan Jones Silva, Alison Lohman, Angelina Jolie, Anthony Hopkins, Brendan Gleeson, Charlotte Salt, Chris Coppola, Costas Mandylor, Crispin Glover, Daniel D. McGrew, Dominic Keating, Fredrik Hiller, Greg Ellis, Jacquie Barnbrook, John Malkovich, Julene Renee, Leslie Zemeckis, Nick Jameson, Ray Winstone, Rik Young, Robin Wright, Sebastian Roché, Sharisse Baker-Bernard, Shay Duffin, Sonje Fortag, Tyler Steelman, Woody Schultz","Action & Adventure","Animation, Action, Adventure","2007-11-05","An epic tale concerning a 6th-century Scandinavian warrior named Beowulf and his mission to slay the manlike ogre Grendel, a descendant of Cain.","0","Warner Bros. Pictures","Robert Zemeckis","Jack Rapke, Steve Starkey, Robert Zemeckis, Ronna Kress, Martin Shafer, Jack Rapke, Roger Avary, Nina Gold, Jacqueline M. Lopez, Peter M. Tobyansen, Josh McLaglen","Neil Gaiman, Roger Avary","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Beowulf (Doblada)/Beowulf (Doblada).m4v"
"Beowulf","Beowulf.m4v","artwork/00204/Beowulf.art[0].png",0,1,0,"Alan Jones Silva, Alison Lohman, Angelina Jolie, Anthony Hopkins, Brendan Gleeson, Charlotte Salt, Chris Coppola, Costas Mandylor, Crispin Glover, Daniel D. McGrew, Dominic Keating, Fredrik Hiller, Greg Ellis, Jacquie Barnbrook, John Malkovich, Julene Renee, Leslie Zemeckis, Nick Jameson, Ray Winstone, Rik Young, Robin Wright, Sebastian Roché, Sharisse Baker-Bernard, Shay Duffin, Sonje Fortag, Tyler Steelman, Woody Schultz","Action & Adventure","Animation, Action, Adventure","2007-11-05","An epic tale concerning a 6th-century Scandinavian warrior named Beowulf and his mission to slay the manlike ogre Grendel, a descendant of Cain.","0","Warner Bros. Pictures","Robert Zemeckis","Jack Rapke, Steve Starkey, Robert Zemeckis, Ronna Kress, Martin Shafer, Jack Rapke, Roger Avary, Nina Gold, Jacqueline M. Lopez, Peter M. Tobyansen, Josh McLaglen","Neil Gaiman, Roger Avary","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Beowulf/Beowulf.m4v"
"Big Hero 6","Big Hero 6 (1080p HD).m4v","artwork/00205/Big%20Hero%206%20(1080p%20HD).art[0].jpg",1,1,0,"Abraham Benrubi, Alan Tudyk, Billy Bush, Charlie Adler, Chris Williams, Damon Wayans Jr., Dan Gerson, Daniel Henney, Don Hall, Génesis Rodríguez, James Cromwell, Jamie Chung, Katie Lowes, Marcella Lentz-Pope, Maya Rudolph, Paul Briggs, Ryan Potter, Scott Adsit, T.J. Miller","Kids & Family","Action, Adventure, Animation, Comedy, Family","2014-11-07","The special bond that develops between plus-sized inflatable robot Baymax, and prodigy Hiro Hamada, who team up with a group of friends to form a band of high-tech heroes.","0","Walt Disney Animation Studios, Walt Disney Pictures","Don Hall, Chris Williams","Roy Conli","Joseph Mateo, Dan Gerson, Robert L. Baird, Duncan Rouleau, Steven T. Seagle, Jordan Roberts, Robert L. Baird","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Big Hero 6/Big Hero 6 (1080p HD).m4v"
"Billy Elliot","Billy Elliot.m4v","artwork/00206/Billy%20Elliot.art[0].png",0,1,0,"Gary Lewis, Jamie Bell, Jamie Draven, Janine Birkett, Jean Heywood, Julie Walters, Nicola Blackwell, Stuart Wells","Drama","Drama, Comedy, Music, Foreign","2000-10-13","Director Stephen Daldry delivers a social drama, comedy. A coal mining father from the north English town is in an economic crisis with his job while his son faces a search for his true identity as a ballet dancer with or without his fathers approval.","0","Arts Council of England, BBC Films, Studio Canal, Tiger Aspect Productions, WT2 Productions, Working Title Films","Stephen Daldry","Greg Brenman, Jina Jay, Jonathan Finn, Charles Brand, Tessa Ross, David M. Thompson, Natascha Wharton","Lee Hall","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Billy Elliot/Billy Elliot.m4v"
"Billy Joel: The Essential Video Collection","Billy Joel_ The Essential Video Collection.m4v","artwork/00207/Billy%20Joel_%20The%20Essential%20Video%20Collection.art[0].png",0,1,0,"","Music","Music","","Este DVD recopila la mayorá -si no es que todos- los videoclips de Billy Joel filmados hasta aproximadamente 1987., En ellos se luce este chico de barrio bajo quien, gracias a su talento en el piano y a su asombroso olfato para inventar melodás pop, surgió en los '70 como uno de los mejores cantantes urbanos de la escena norteamericana. Lo odies o lo ames, el catálogo de canciones contenido aquí­ impone respeto.","","","","","","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Billy Joel_ The Essential Video Collection/Billy Joel_ The Essential Video Collection.m4v"
"Birdman","Birdman (1080p HD).m4v","artwork/00208/Birdman%20(1080p%20HD).art[0].jpg",1,1,0,"Alejandro González Iñárritu, Amy Ryan, Andrea Riseborough, Edward Norton, Emma Stone, Jeremy Shamos, Kenny Chin, Lindsay Duncan, Merritt Wever, Michael Keaton, Naomi Watts, Natalie Gold, Zach Galifianakis","Drama","Comedy, Drama","2014-10-17","A fading actor best known for his portrayal of a popular superhero attempts to mount a comeback by appearing in a Broadway play. As opening night approaches, his attempts to become more altruistic, rebuild his career, and reconnect with friends and family prove more difficult than expected.","0","Worldview Entertainment, New Regency Pictures","Alejandro González Iñárritu","Alejandro González Iñárritu, Arnon Milchan, John Lesher, James W. Skotchdopole","Alexander Dinelaris, Alejandro González Iñárritu, Armando Bo, Nicolás Giacobone","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Birdman/Birdman (1080p HD).m4v"
"Biutiful","Biutiful.m4v","artwork/00209/Biutiful.art[0].png",0,1,0,"Guillermo Estrella, Hanaa Bouchaib, Javier Bardem, Maricel Álvarez","Drama","Drama, Foreign","2011-05-31","This is a story of a man in free fall. On the road to redemption, darkness lights his way. Connected with the afterlife, Uxbal is a tragic hero and father of two who's sensing the danger of death. He struggles with a tainted reality and a fate that works against him in order to forgive, for love, and forever.","0","Maricel Álvarez, Hanaa Bouchaib, Guillermo Estrella, Javier Bardem","Alejandro González Iñárritu","","","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Biutiful/Biutiful.m4v"
"Black Death","Black Death.m4v","artwork/00210/Black%20Death.art[0].png",0,1,0,"Andy Nyman, Carice van Houten, Eddie Redmayne, John Lynch, Kimberley Nixon, Sean Bean, Tim McInnerny","Action & Adventure","Action, Adventure, Drama, Fantasy, Foreign, History, Horror, Thriller","2011-03-11","Plague-ridden medieval England: Bodies lie scattered in the hundreds, the country is in turmoil. One hope remains, rumors of a village that is unaffected by the deadly disease. As God’s ambassador, young monk Osmund is tasked in leading the fearsome knight Ulrich and his group of mercenaries to the remote village. Their quest is to hunt down a necromancer - someone able to bring the dead back to life. Their journey is treacherous and filled with danger; encountering deadly bandits and vicious witch-burnings that will put their faith to the ultimate test. Though it’s upon entering the village that their true horror begins...","0","Sean Bean, Eddie Redmayne, Carice van Houten, Kimberley Nixon, John Lynch, Tim McInnerny, Andy Nyman","Christopher Smith","","Dario Poloni","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Black Death/Black Death.m4v"
"Black Gold","Black Gold.m4v","artwork/00211/Black%20Gold.art[0].png",0,1,0,"Antonio Banderas, Freida Pinto, Lotfi Dziri, Mark Strong, Riz Ahmed, Tahar Rahim","Action & Adventure","Adventure, Drama","2011-12-23","On the Arabian Peninsula in the 1930's, two warring leaders come face to face. The victorious Nesib, Emir of Hobeika, lays down his peace terms to rival Amar, Sultan of Salmaah. The two men agree that neither can lay claim to the area of no man’s land between them called The Yellow Belt. In return, Nesib adopts Amar’s two boys Saleeh and Auda as a guarantee against invasion. Twelve years later, Saleeh and Auda have grown into young men. Saleeh, the warrior, itches to escape his gilded cage and return to his father’s land. Auda cares only for books and the pursuit of knowledge. One day, their adopted father Nesib is visited by an American from Texas. He tells the Emir that his land is blessed with oil and promises him riches beyond his wildest imagination. Nesib imagines a realm of infinite possibility, a kingdom with roads, schools and hospitals all paid for by the black gold beneath the barren sand. There is only one problem. The precious oil is located in the Yellow Belt.","","Doha Film Institute, The","Jean-Jacques Annaud","","Menno Meyjes, Jean-Jacques Annaud","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Black Gold/Black Gold.m4v"
"Black Swan","Black Swan.m4v","artwork/00212/Black%20Swan.art[0].png",0,1,0,"Adriene Couvillion, Barbara Hershey, Christopher Gartin, Deborah Offner, Janet Montgomery, Kristina Anapau, Ksenia Solo, Marcia Jean Kurtz, Mila Kunis, Natalie Portman, Sebastian Stan, Shaun O'Hagan, Toby Hemingway, Vincent Cassel, Winona Ryder","Drama","Drama, Suspense, Thriller, Mystery","2010-12-17","Nina is a ballerina in a New York City ballet company whose life, like all those in her profession, is completely consumed with dance. She lives with her obsessive former ballerina mother Erica who exerts a suffocating control over her. When artistic director Thomas Leroy decides to replace prima ballerina Beth MacIntyre for the opening production of their new season, Swan Lake, Nina is his first choice. But Nina has competition: a new dancer, Lily, who impresses Leroy as well. Swan Lake requires a dancer who can play both the White Swan with innocence and grace, and the Black Swan, who represents guile and sensuality. Nina fits the White Swan role perfectly but Lily is the personification of the Black Swan. As the two young dancers expand their rivalry into a twisted friendship, Nina begins to get more in touch with her dark side - a recklessness that threatens to destroy her.","0","Fox Searchlight Pictures, Protozoa Pictures Inc., Phoenix Pictures","Darren Aronofsky","","Andres Heinz, Mark Heyman","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Black Swan/Black Swan.m4v"
"Blackhat","Blackhat (1080p HD).m4v","artwork/00213/Blackhat%20(1080p%20HD).art[0].jpg",1,1,0,"Abhi Sinha, Andy On, Archie Kao, Brandon Molale, Chris Hemsworth, Christian Borle, Danny Burstein, Holt McCallany, John Ortiz, Leehom Wang, Manny Montana, Michael Mann, Ritchie Coster, Spencer Garrett, Tang Wei, Tyson Chak, Viola Davis, William Mapother, Yorick van Wageningen","Thriller","Mystery, Crime, Action, Thriller, Drama","2015-01-16","A man is released from prison to help American and Chinese authorities pursue a mysterious cyber criminal. The dangerous search leads them from Chicago to Hong Kong.","0","Universal Pictures, Forward Pass, Legendary Pictures","Michael Mann","Michael Mann, Jon Jashni, Thomas Tull","Morgan Davis Foehl","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Blackhat/Blackhat (1080p HD).m4v"
"Blended","Blended (1080p HD).m4v","artwork/00214/Blended%20(1080p%20HD).art[0].jpg",1,1,0,"Abdoulaye N'Gom, Adam Sandler, Alyvia Alyn Lind, Anna Colwell, Bella Thorne, Drew Barrymore, Emma Fuhrmann, Frank Coraci, Joel McHale, Kevin Nealon, Kyle Red Silverstein, Lauren Lapkus, Terry Crews, Wendi McLendon-Covey","Comedy","Comedy","2014-05-23","After a bad blind date, a man and woman find themselves stuck together at a resort for families, where their attractions grows as their respective kids benefit from the burgeoning relationship.","0","Warner Brothers, Warner Bros., Happy Madison, Gulfstream Pictures","Frank Coraci","Adam Sandler, Mike Karz, Jack Giarraputo","Ivan Menchell, Clare Sera","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Blended/Blended (1080p HD).m4v"
"Blood Out","Blood Out.m4v","artwork/00215/Blood%20Out.art[0].png",0,1,0,"AnnaLynne McCord, Luke Goss, Val Kilmer, Vinnie Jones","Action & Adventure","Action, Adventure, Thriller","2011-04-26","When big city detectives refuse to further investigate his kid brother's gang related murder, small town Sheriff Michael Spencer drops the badge and goes undercover to find his brother's killer and avenge his death.","0","Lions Gate Entertainments","Jason Hewitt","","John A. O'Connell, Jason Hewitt","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Blood Out/Blood Out.m4v"
"Body of Lies","Body of Lies.m4v","artwork/00216/Body%20of%20Lies.art[0].png",0,1,0,"Ali Suliman, Alon Aboutboul, Ghali Benlafkih, Golshifteh Farahani, Jamil Khoury, Kais Nashif, Leonardo DiCaprio, Lubna Azabal, Mark Strong, Mehdi Nebbou, Michael Gaston, Oscar Isaac, Russell Crowe, Simon McBurney, Vince Colosimo","Action & Adventure","Action, Adventure, Drama, Suspense, Thriller","2008-10-10","Body of Lies follows CIA operative, Roger Ferris, as he uncovers a lead on a major terrorist leader suspected to be operating out of Jordan. When Ferris devises a plan to infiltrate his network, he must first win the backing of cunning CIA veteran Ed Hoffman and the collegial, but perhaps suspect, head of Jordanian intelligence.","0","De Line Pictures, Scott Free Productions","Ridley Scott","Zakaria Alaoui, Michael Costigan, Donald De Line, Charles J.D. Schlissel, Ridley Scott, Ridley Scott, Jina Jay, Avy Kaufman","David Ignatius, William Monahan, David Ignatius","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Body of Lies/Body of Lies.m4v"
"Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan","Borat_ Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan.m4v","artwork/00217/Borat_%20Cultural%20Learnings%20of%20America%20for%20Make%20Benefit%20Glorious%20Nation%20of%20Kazakhstan.art[0].png",0,1,0,"Ken Davitian, Luenell, Pamela Anderson, Sacha Baron Cohen","Comedy","Comedy, Documentary","2006-08-04","A pretend Kazakhstan reporter Borat visits the United States to learn the cultural differences between his homeland and the US. The film is a clever mix of documentation and comedy. Sacha Baron Cohen won a Golden Globe for his acting.","0","Dune Entertainment","Larry Charles","Sacha Baron Cohen, Dan Mazer, Jay Roach, Monica Levinson","Sacha Baron Cohen, Anthony Hines, Peter Baynham, Dan Mazer","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Borat_ Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan/Borat_ Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan.m4v"
"Bordertown","Bordertown.m4v","artwork/00218/Bordertown.art[0].png",0,1,0,"Antonio Banderas, Brandon Smith, Irineo Alvarez, Jennifer Lopez, John Norman, Juan Diego Botto, Julio Cedillo, Kate del Castillo, Martin Sheen, Maya Zapata, Randall Batinkoff, Ronald Hamilton, Sonia Braga, Zaide Silvia Gutiérrez","Drama","Drama, Mystery, Thriller","2007-02-15","The opening titles explain that American corporations are using the North American Free Trade Agreement by opening large maquiladoras right across the United States–Mexico border. The maquiladoras hire mostly Mexican women to work long hours for little money in order to produce mass quantity products.Lauren Adrian (Jennifer Lopez), an impassioned American news reporter for the 'Chicago Sentinel' wants to be assigned to the Iraq front-lines to cover the war. Instead, her editor George Morgan (Martin Sheen) assigns her to investigate a series of slayings involving young maquiladora factory women in a Mexican bordertown.","0","Jennifer Lopez, Martin Sheen, Antonio Banderas, Maya Zapata, Sonia Braga, Kate del Castillo, John Norman, Randall Batinkoff, Juan Diego Botto, Irineo Alvarez, Julio Cedillo, Zaide Silvia Gutiérrez, Ronald Hamilton, Brandon Smith","Gregory Nava","Gregory Nava, Simon Fields, David Bergstein, Cary Epstein, Tracee Stanley, Emily Schweber, Jennifer Lopez","Gregory Nava","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Bordertown/Bordertown.m4v"
"Born to Ride","Born to Ride.m4v","artwork/00219/Born%20to%20Ride.art[0].png",0,1,0,"Alaina Beaulyle, Andre Caceres, Branscombe Richmond, Casper Van Dien, Cledia Barsottelli, Dave Goryl, Jack Maxwell, Jamison Jones, Jim Bentley, Keith Ball, Kurt Andon, Michelle Bengston, Patrick Muldoon, Theresa Russell, William Forsythe","Action & Adventure","Action, Thriller","2011-06-26","The stars of Starship Troopers are back in action! Mike (Casper Van Dien) decides to hit the road on his refurbished classic motorcycle along with best buddy Alex (Patrick Muldoon), but their trek takes a surprising turn when they become involved in a plan involving political blackmail, corruption, and dirty money. Carrying evidence that could get them killed at any minute, the boys are chased on the open road but turn their skills to their own advantage. William Forsythe (Raising Arizona) and Theresa Russell (Wild Things) also star in this gun-blazing, rip-roaring adventure from the director of Every Which Way But Loose you’ll never forget!","0","","James Fargo","","Robert Vozza, Mike Anthony Jones","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Born to Ride/Born to Ride.m4v"
"Brave (Doblada)","Brave (Doblada).m4v","artwork/00220/Brave%20(Doblada).art[0].png",0,1,0,"Billy Connolly, Craig Ferguson, Emma Thompson, Julie Walters, Kelly Macdonald, Kevin McKidd, Peigi Barker, Robbie Coltrane, Sally Kinghorn, Steven Cree","Kids & Family","Animation, Adventure, Comedy, Family, Action","2012-06-22","Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.","0","Pixar Animation Studios, Walt Disney Pictures","Mark Andrews, Steve Purcell, Brenda Chapman","Pete Docter","Mark Andrews, Steve Purcell, Brenda Chapman, Brenda Chapman, Irene Mecchi","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Brave (Doblada)/Brave (Doblada).m4v"
"Brave","Brave.m4v","artwork/00221/Brave.art[0].png",0,1,0,"Billy Connolly, Craig Ferguson, Emma Thompson, Julie Walters, Kelly Macdonald, Kevin McKidd, Peigi Barker, Robbie Coltrane, Sally Kinghorn, Steven Cree","Kids & Family","Animation, Adventure, Comedy, Family, Action","2012-06-22","Brave is set in the mystical Scottish Highlands, where Mérida is the princess of a kingdom ruled by King Fergus and Queen Elinor. An unruly daughter and an accomplished archer, Mérida one day defies a sacred custom of the land and inadvertently brings turmoil to the kingdom. In an attempt to set things right, Mérida seeks out an eccentric old Wise Woman and is granted an ill-fated wish. Also figuring into Mérida’s quest — and serving as comic relief — are the kingdom’s three lords: the enormous Lord MacGuffin, the surly Lord Macintosh, and the disagreeable Lord Dingwall.","0","Pixar Animation Studios, Walt Disney Pictures","Mark Andrews, Steve Purcell, Brenda Chapman","Pete Docter","Mark Andrews, Steve Purcell, Brenda Chapman, Brenda Chapman, Irene Mecchi","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Brave/Brave.m4v"
"Bridesmaids","Bridesmaids.m4v","artwork/00222/Bridesmaids.art[0].png",0,1,0,"Chris O'Dowd, Elaine Kao, Ellie Kemper, Greg Tuculescu, Jessica St. Clair, Jill Clayburgh, Joe Nunez, Jon Hamm, Kali Hawk, Kristen Wiig, Matt Lucas, Maya Rudolph, Melissa McCarthy, Michael Hitchcock, Rebel Wilson, Rose Byrne, Terry Crews, Tom Yi, Wendi McLendon-Covey","Comedy","","2011-05-13","Annie’s life is a mess. But when she finds out her lifetime best friend is engaged, she simply must serve as Lillian’s maid of honor. Though lovelorn and broke, Annie bluffs her way through the expensive and bizarre rituals. With one chance to get it perfect, she’ll show Lillian and her bridesmaids just how far you’ll go for someone you love.","0","Rose Byrne, Jon Hamm, Kristen Wiig, Melissa McCarthy, Maya Rudolph, Chris O'Dowd, Ellie Kemper, Jessica St. Clair, Tom Yi, Elaine Kao, Michael Hitchcock, Kali Hawk, Joe Nunez, Rebel Wilson, Matt Lucas, Jill Clayburgh, Wendi McLendon-Covey, Greg Tuculescu, Terry Crews","Paul Feig","Paul Feig, Judd Apatow","Kristen Wiig, Annie Mumolo, Kristen Wiig, Annie Mumolo","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Bridesmaids/Bridesmaids.m4v"
"Broken City","Broken City (1080p HD).m4v","artwork/00223/Broken%20City%20(1080p%20HD).art[0].png",1,1,0,"Alona Tal, Barry Pepper, Britney Theriot, Catherine Zeta-Jones, Griffin Dunne, James Ransone, Jeffrey Wright, Kyle Chandler, Mark Wahlberg, Michael Beach, Natalie Martinez, Russell Crowe","Thriller","","2013-01-18","In a broken city rife with injustice, ex-cop Billy Taggart (Mark Wahlberg) seeks redemption and revenge after being double-crossed and then framed by its most powerful figure, the mayor (Russell Crowe). Billy's relentless pursuit of justice, matched only by his streetwise toughness, makes him an unstoppable force - and the mayor's worst nightmare.","0","Emmett Street Films, New Regency Productions","Allen Hughes","Teddy Schwarzman","Brian Tucker","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Broken City/Broken City (1080p HD).m4v"
"Bronson","Bronson.m4v","artwork/00224/Bronson.art[0].png",0,1,0,"Amanda Burton, Andrew Forbes, Andrew St. John, Hugh Ross, James Lance, Joe Tucker, Jon House, Jonny Phillips, Juliet Oldfield, Katy Barker, Kelly Adams, Luing Andrews, Mark Powley, Matt King, Tom Hardy","Drama","Drama, Foreign","2009-03-13","A young man who was sentenced to 7 years on prison for robbing a post office ends up spending 30 years in solitary confinement. During this time, his own personality is supplanted by his alter ego, Charles Bronson.","0","Vertigo Films, Aramid Entertainment Fund, Str8jacket Creations, EM Media, 4DH Films, Perfume Films","Nicolas Winding Refn","Thor Sigurjonsson, Danny Hansford, Rupert Preston, Jessica Cooke, Sean Faughnan, Jane Hooks, Suzanne Alizart, James Richardson, Nick Love, Paul Martin, Rob Morgan, Allan Niblo, Kate Ogborn, Simon Fawcett","Brock Norman Brock, Nicolas Winding Refn","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Bronson/Bronson.m4v"
"Brooklyn's Finest","Brooklyn's Finest.m4v","artwork/00225/Brooklyn's%20Finest.art[0].png",0,1,0,"Don Cheadle, Ellen Barkin, Ethan Hawke, Michael K. Williams, Richard Gere, Shannon Kane, Vincent D'Onofrio, Wesley Snipes","Drama","Action, Crime, Drama, Thriller","2009-01-16","Brooklyn's Finest takes place within the notoriously rough Brownsville section of the city and especially within the Van Dyke housing projects in the NYPD's sixty-fifth precinct. Three policemen struggle with the sometimes fine line between right and wrong.","0","Overture Films, Millennium Films, Brooklyn's Finest Productions, Thunder Road Productions","Antoine Fuqua","Basil Iwanyk, John Langley, John Thompson, Elie Cohn","Michael C. Martin","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Brooklyn's Finest/Brooklyn's Finest.m4v"
"Bruce Lee, My Brother","Bruce Lee, My Brother.m4v","artwork/00226/Bruce%20Lee,%20My%20Brother.art[0].png",0,1,0,"Aarif Lee, Alex Man Chi-Leung, Cheung Tat-Ming, Chin Ka-Lok, Christy Chung, Heung Kam Lee, Jennifer Tse, Jin Auyeung, Lawrence Cheng, Michelle Ye, Ou-Yang Ching, Siu-Fai Cheung, Tony Leung Ka-Fai, Wilfred Lau, Xiao Song Jia","Drama","Drama","2010-11-25","Bruce Lee, My Brother is an action-dramatic biopic of the eponymous martial arts legend as told by his younger brother, Robert Lee. It revolves around Bruce Lee's life as a rebellious adolescent in Hong Kong before he sets off for the USA and conquers the world at the age of 18 with only US$100 in his pocket.","","Media Asia Films","Manfred Wong, Wai Man Yip","","Manfred Wong","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Bruce Lee, My Brother/Bruce Lee, My Brother.m4v"
"Buena Vista Social Club","Buena Vista Social Club.m4v","artwork/00227/Buena%20Vista%20Social%20Club.art[0].png",0,1,0,"Joachim Cooder, Juan de Marcos González, Lázaro Villa, Ry Cooder","Documentary","Documentary, Indie, Music","1999-02-17","In this fascinating Oscar-nominated documentary, American guitarist Ry Cooder brings together a group of legendary Cuban folk musicians (some in their 90s) to record a Grammy-winning CD in their native city of Havana. The result is a spectacular compilation of concert footage from the group's gigs in Amsterdam and New York City's famed Carnegie Hall, with director Wim Wenders capturing not only the music -- but also the musicians' life stories.","","","Wim Wenders","Ulrich Felsberg, Deepak Nayar","Wim Wenders","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Buena Vista Social Club/Buena Vista Social Club.m4v"
"Bulletproof Monk","Bulletproof Monk.m4v","artwork/00228/Bulletproof%20Monk.art[0].png",0,1,0,"Bayo Akinfemi, Chow Yun-Fat, Jaime King, K.C. Collins, Karel Roden, Kishaya Dudley, Mako, Marcus Jean Pirae, Mauricio Rodas, Rob Archer, Roger Yuan, Russell Yuen, Sean Bell, Seann William Scott, Victoria Smurfit","Action & Adventure","Action, Adventure, Comedy, Science Fiction, Thriller","2003-04-16","A mysterious and immortal Tibetan kung fu master, who has spent the last 60 years traveling around the world protecting the ancient Scroll of the Ultimate, mentors a selfish street kid in the ancient intricacies of kung fu.","0","","Paul Hunter","Terence Chang, Gotham Chopra, Charles Roven, John Woo","Cyrus Voris, Ethan Reiff","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Bulletproof Monk/Bulletproof Monk.m4v"
"Buried","Buried.m4v","artwork/00229/Buried.art[0].png",0,1,0,"Jose Luis Garcia Perez, Ryan Reynolds, Samantha Mathis","Thriller","Drama, Foreign, Indie, Suspense, Thriller, War","2010-09-24","Paul Conroy is not ready to die. But when he wakes up 6 feet underground with no idea of who put him there or why, life for the truck driver and family man instantly becomes a hellish struggle for survival. Buried with only a cell phone and a lighter, his contact with the outside world and ability to piece together clues that could help him discover his location are maddeningly limited. Poor reception, a rapidly draining battery, and a dwindling oxygen supply become his worst enemies in a tightly confined race against time- fighting panic, despair and delirium, Paul has only 90 minutes to be rescued before his worst nightmare comes true.","0","Ryan Reynolds, Samantha Mathis, Jose Luis Garcia Perez","Rodrigo Cortés","","Chris Sparling","Movie","/Volumes/Media Center/Shared iTunes/iTunes Media/Movies/Buried/Buried.m4v"
